service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
16,0,0,0,0,0,1,0,20120707,20120825
5,0,0,0,0,0,0,1,20120708,20120826
11,1,1,1,1,1,1,0,20120707,20120831
4,0,0,1,0,0,0,0,20120905,20130626
9,0,0,0,0,0,0,0,20120701,20130630
23,0,0,0,0,0,0,0,20120701,20130630
22,1,1,1,1,1,0,0,20120903,20130628
25,1,1,1,1,1,0,0,20120904,20130628
19,0,0,0,0,0,0,0,20120701,20130630
2,0,0,0,0,0,0,0,20120701,20130630
15,0,0,0,0,0,1,0,20120901,20130629
13,1,1,1,1,1,0,0,20120709,20120831
30,1,1,0,1,1,0,0,20120904,20130628
21,1,1,1,1,1,1,0,20120901,20130629
12,0,0,0,0,0,1,0,20120901,20130630
28,1,1,1,1,1,1,0,20120904,20130629
35,0,0,0,0,1,0,0,20120907,20130628
18,0,0,0,0,0,0,0,20120701,20130630
48,0,0,0,0,0,1,0,20120908,20130629
3,0,0,0,0,0,0,0,20120701,20130630
40,1,1,1,1,0,1,0,20120901,20130629
53,0,0,0,0,0,1,0,20120908,20130629
38,1,0,0,0,0,0,0,20120903,20130624
39,0,1,1,1,1,1,0,20120901,20130629
37,0,0,0,0,0,0,0,20120901,20130504
17,0,0,0,0,0,0,0,20121101,20130520
14,0,0,0,0,1,0,0,20120713,20120831
8,1,1,1,1,1,0,0,20120904,20130628
41,0,0,0,0,0,0,1,20120902,20130630
59,0,0,0,0,1,0,0,20120907,20130628
63,0,0,0,0,0,0,0,20121031,20130424
62,1,1,0,1,1,1,0,20120901,20130629
42,1,1,0,1,1,0,0,20120903,20130628
46,0,0,1,0,0,1,0,20120901,20130629
10,1,0,0,0,1,0,0,20120709,20120831
20,1,0,0,0,1,0,0,20120903,20130628
29,0,0,0,0,0,1,0,20130420,20130629
24,0,1,1,1,0,1,0,20120901,20130629
27,1,1,1,1,0,1,0,20120904,20130629
50,1,1,0,1,1,1,0,20120904,20130629
49,1,0,0,0,0,0,0,20120910,20130624
47,0,0,0,0,0,0,1,20120902,20130630
57,1,1,1,1,0,0,0,20120903,20130627
56,0,0,0,0,0,0,0,20121103,20130504
61,0,1,0,0,1,0,0,20120904,20130628
